Language	Accuracy	Source
eng	0.85	https://arxiv.org/pdf/1901.07291.pdf
fra	0.787	https://arxiv.org/pdf/1901.07291.pdf
spa	0.789	https://arxiv.org/pdf/1901.07291.pdf
deu	0.778	https://arxiv.org/pdf/1901.07291.pdf
ell	0.766	https://arxiv.org/pdf/1901.07291.pdf
bul	0.774	https://arxiv.org/pdf/1901.07291.pdf
rus	0.753	https://arxiv.org/pdf/1901.07291.pdf
tur	0.725	https://arxiv.org/pdf/1901.07291.pdf
ara	0.731	https://arxiv.org/pdf/1901.07291.pdf
vie	0.761	https://arxiv.org/pdf/1901.07291.pdf
tha	0.732	https://arxiv.org/pdf/1901.07291.pdf
cmn	0.765	https://arxiv.org/pdf/1901.07291.pdf
hin	0.696	https://arxiv.org/pdf/1901.07291.pdf
swa	0.684	https://arxiv.org/pdf/1901.07291.pdf
urd	0.673	https://arxiv.org/pdf/1901.07291.pdf
