Language	Accuracy	Source
eng	0.44	https://storage.googleapis.com/tydiqa/tydiqa.pdf
ara	0.693	https://storage.googleapis.com/tydiqa/tydiqa.pdf
ben	0.477	https://storage.googleapis.com/tydiqa/tydiqa.pdf
fin	0.48	https://storage.googleapis.com/tydiqa/tydiqa.pdf
ind	0.513	https://storage.googleapis.com/tydiqa/tydiqa.pdf
jpn	0.304	https://storage.googleapis.com/tydiqa/tydiqa.pdf
swa	0.497	https://storage.googleapis.com/tydiqa/tydiqa.pdf
kor	0.401	https://storage.googleapis.com/tydiqa/tydiqa.pdf
rus	0.458	https://storage.googleapis.com/tydiqa/tydiqa.pdf
tel	0.743	https://storage.googleapis.com/tydiqa/tydiqa.pdf
tha	0.483	https://storage.googleapis.com/tydiqa/tydiqa.pdf
spa	0.68	https://arxiv.org/pdf/1910.07475.pdf
deu	0.622	https://arxiv.org/pdf/1910.07475.pdf
eng	0.802	https://arxiv.org/pdf/1910.07475.pdf
hin	0.55	https://arxiv.org/pdf/1910.07475.pdf
vie	0.62	https://arxiv.org/pdf/1910.07475.pdf
cmn	0.614	https://arxiv.org/pdf/1910.07475.pdf
